Wall time,Step,Value
1582257565.8331926,5168,0.2514510750770569
1582257565.8456783,5475,0.4411599934101105
1582257565.8481781,5537,0.3300206661224365
1582257565.8502374,5587,0.2672599256038666
1582257565.9244912,7308,0.26810190081596375
1582257565.9317622,7487,0.18103055655956268
1582257566.0149035,9493,0.19353792071342468
1582260657.5151355,10135,0.22660711407661438
1582260657.5806394,11712,0.24080167710781097
1582260657.612233,12464,0.18074974417686462
1582260657.6896806,14261,0.21042479574680328
1582260657.6974611,14469,0.3110865652561188
1582260657.7581377,15906,0.2699134647846222
1582260657.7605073,15967,0.25151947140693665
1582260657.8061454,16970,0.297058641910553
1582260657.9054081,19295,0.1946992427110672
1582260657.9252994,19780,0.18095062673091888
1582263867.862044,21117,0.3124120831489563
1582263868.0093892,24641,0.21478863060474396
1582263868.027223,25063,0.28730809688568115
1582263868.0473588,25540,0.23095260560512543
1582263868.0488892,25579,0.28207653760910034
1582263868.059882,25856,0.25263604521751404
1582263868.0809307,26320,0.25661715865135193
1582263868.1343238,27331,0.2597048878669739
1582263868.2002647,28702,0.3577013909816742
1582263868.219243,29148,0.26054421067237854
1582263868.226679,29323,0.20488549768924713
1582263868.2432876,29728,0.2064618617296219
1582267185.7762685,30254,0.39452406764030457
1582267185.966714,34830,0.5666226744651794
1582267185.9994261,35613,0.2228541225194931
1582267186.0032659,35707,0.3189902603626251
1582267186.0554535,36937,0.3990502655506134
1582267186.0755563,37436,0.3949151635169983
1582267186.1058505,38182,0.28385451436042786
1582267186.1314306,38750,0.32541415095329285
1582267186.1327596,38786,0.3026779592037201
1582267186.135031,38840,0.3467167317867279
1582267186.1614578,39526,0.40184736251831055
1582270505.8679023,40954,0.34136030077934265
1582270505.8956835,41630,0.43696609139442444
1582270505.896709,41660,0.40407636761665344
1582270505.942609,42765,0.4401717483997345
1582270505.9474251,42877,0.2785741686820984
1582270505.9810936,43721,0.4213416576385498
1582270505.9864106,43841,0.4152270555496216
1582270506.0910206,46272,0.9799315929412842
1582270506.1988213,48640,0.5804562568664551
1582270506.2139084,48994,0.7650415897369385
1582270506.2223628,49201,0.6616254448890686
1582273861.747334,50373,0.45273664593696594
1582273861.7908523,51335,0.4404420554637909
1582273861.794654,51414,0.5038487315177917
1582273861.8673773,52745,0.36865100264549255
1582273861.8876588,53182,0.7018480896949768
1582273862.085976,57907,0.46808403730392456
1582273862.131174,58863,0.4897598326206207
1582277317.1873512,61522,0.9970256686210632
1582277317.2832403,63747,0.9995193481445312
1582277317.3414023,65180,0.6646419167518616
1582277317.356042,65476,0.8202667832374573
1582277317.4301322,67140,1.1955530643463135
1582277317.4932952,68672,1.03213632106781
1582277317.5279512,69522,0.6649805307388306
1582280828.737814,70644,0.9352560043334961
1582280828.7847028,71788,0.8387863636016846
1582280828.7936208,72022,1.0310330390930176
1582280828.8107963,72441,0.8130902647972107
1582280828.882738,74186,0.6851425170898438
1582280828.94702,75657,1.4072229862213135
1582280828.9833705,76429,1.2102898359298706
1582280829.0030453,76907,1.3751288652420044
1582280829.0051222,76958,1.2304195165634155
1582280829.0071821,77013,1.1713563203811646
1582280829.0473373,78010,1.422376036643982
1582284330.7397733,83209,1.400498390197754
1582284330.7747211,83921,0.941627025604248
1582284330.835167,85391,1.2469003200531006
1582284330.8443973,85614,1.2571035623550415
1582284331.0175662,89602,1.2574474811553955
1582287971.2081656,90090,2.561492443084717
1582287971.2793367,91781,1.398508906364441
1582287971.2829895,91866,1.41579008102417
1582287971.289408,92009,1.7601492404937744
1582287971.304666,92394,1.367971420288086
1582287971.3398247,93138,1.8892265558242798
1582287971.3622963,93675,2.5366687774658203
1582287971.3945918,94348,1.4949519634246826
1582287971.3954828,94364,1.5888054370880127
1582287971.424666,94974,1.8731154203414917
1582287971.4374087,95238,1.5179224014282227
1582287971.4990995,96648,1.54738187789917
1582287971.5187025,97121,2.245931625366211
1582287971.5726776,98472,2.077648878097534
1582287971.589972,98902,1.3178671598434448
1582291702.9277925,100378,1.446212649345398
1582291702.9324913,100481,1.6991764307022095
1582291702.9726703,101302,1.5262651443481445
1582291703.0701814,103475,1.3389428853988647
1582291703.1266503,104885,1.5489224195480347
1582291703.1670914,105859,1.4621691703796387
1582291703.1856802,106336,2.6789793968200684
1582291703.209422,106944,2.390690326690674
1582291703.2575595,108002,1.6429282426834106
1582291703.3315618,109335,1.8950446844100952
1582291703.3651102,109897,1.9605034589767456
1582291703.3670259,109925,3.0521984100341797
1582295513.4563026,110775,2.329378128051758
1582295513.5435653,112838,2.728649616241455
1582295513.5762784,113587,2.053126573562622
1582295513.6923203,116324,2.246647357940674
1582295513.7077835,116699,3.1792659759521484
1582295513.7610478,117903,2.1433916091918945
1582299410.5614805,120097,2.743494987487793
1582299410.5796764,120519,4.119575023651123
1582299410.6303325,121712,4.868134021759033
1582299410.6440883,122048,5.382815837860107
1582299410.6705585,122636,4.9249372482299805
1582299410.7027388,123191,3.290949583053589
1582299410.8293884,126193,2.6112959384918213
1582299410.8349075,126333,1.9259737730026245
1582299410.8376586,126404,3.145315408706665
1582299410.855351,126836,2.6740071773529053
1582299410.8702273,127206,2.5106348991394043
1582299410.8906238,127635,2.9948885440826416
1582303311.961505,130291,2.6964266300201416
1582303312.1602795,135072,2.300891876220703
1582303312.2281296,136681,4.456253528594971
1582303312.2358727,136877,5.140359878540039
1582303312.3492212,139377,3.307199001312256
